Rank,Movie Name,Release Date,Director,Actor 1,Actor 2,No. of Votes,Rating
1,The Shawshank Redemption,1994,Frank Darabont, Tim Robbins, Morgan Freeman,1991703,9.216884339024046
2,The Godfather,1972,Francis Ford Coppola, Marlon Brando, Al Pacino,1364162,9.15801004145974
3,The Godfather: Part II,1974,Francis Ford Coppola, Al Pacino, Robert De Niro,944276,8.992860114993118
4,The Dark Knight,2008,Christopher Nolan, Christian Bale, Heath Ledger,1961723,8.95793305192272
5,12 Angry Men,1957,Sidney Lumet, Henry Fonda, Lee J. Cobb,556842,8.911026333284314
6,Schindler's List,1993,Steven Spielberg, Liam Neeson, Ralph Fiennes,1027536,8.898368266646482
7,The Lord of the Rings: The Return of the King,2003,Peter Jackson, Elijah Wood, Viggo Mortensen,1419043,8.869012575551652
8,Pulp Fiction,1994,Quentin Tarantino, John Travolta, Uma Thurman,1555669,8.862797700506283
9,"Il buono, il brutto, il cattivo",1966,Sergio Leone, Clint Eastwood, Eli Wallach,590550,8.82952324427277
10,Fight Club,1999,David Fincher, Brad Pitt, Edward Norton,1594814,8.780973981398642
11,The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson, Elijah Wood, Ian McKellen,1436100,8.768985601178947
12,Forrest Gump,1994,Robert Zemeckis, Tom Hanks, Robin Wright,1515333,8.734595129622216
13,Star Wars: Episode V - The Empire Strikes Back,1980,Irvin Kershner, Mark Hamill, Harrison Ford,1001476,8.72606240634708
14,Inception,2010,Christopher Nolan, Leonardo DiCaprio, Joseph Gordon-Levitt,1743122,8.721553578004777
15,The Lord of the Rings: The Two Towers,2002,Peter Jackson, Elijah Wood, Ian McKellen,1283027,8.688806919762097
16,One Flew Over the Cuckoo's Nest,1975,Milos Forman, Jack Nicholson, Louise Fletcher,791952,8.668555825071058
17,Goodfellas,1990,Martin Scorsese, Robert De Niro, Ray Liotta,858681,8.660514053324887
18,The Matrix,1999,Lana Wachowski, Keanu Reeves, Laurence Fishburne,1429734,8.647596089570412
19,Shichinin no samurai,1954,Akira Kurosawa, Toshirô Mifune, Takashi Shimura,269949,8.63098014066837
20,Cidade de Deus,2002,Fernando Meirelles, Alexandre Rodrigues, Leandro Firmino,616549,8.604923704014007
21,Star Wars,1977,George Lucas, Mark Hamill, Harrison Ford,1072002,8.603215200126554
22,Se7en,1995,David Fincher, Morgan Freeman, Brad Pitt,1216765,8.602830658227004
23,The Silence of the Lambs,1991,Jonathan Demme, Jodie Foster, Anthony Hopkins,1067194,8.589034237680734
24,It's a Wonderful Life,1946,Frank Capra, James Stewart, Donna Reed,334753,8.576790251944457
25,La vita è bella,1997,Roberto Benigni, Roberto Benigni, Nicoletta Braschi,519214,8.568918511268123
26,The Usual Suspects,1995,Bryan Singer, Kevin Spacey, Gabriel Byrne,865507,8.548086782604647
27,Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki, Daveigh Chase, Suzanne Pleshette,522442,8.54081016694962
28,Saving Private Ryan,1998,Steven Spielberg, Tom Hanks, Matt Damon,1049650,8.540310109286219
29,Léon,1994,Luc Besson, Jean Reno, Gary Oldman,872120,8.535791392079565
30,The Green Mile,1999,Frank Darabont, Tom Hanks, Michael Clarke Duncan,951485,8.509848858920982
31,Interstellar,2014,Christopher Nolan, Matthew McConaughey, Anne Hathaway,1206638,8.509127440341503
32,American History X,1998,Tony Kaye, Edward Norton, Edward Furlong,909903,8.502810691543766
33,Psycho,1960,Alfred Hitchcock, Anthony Perkins, Janet Leigh,507121,8.502048725377644
34,City Lights,1931,Charles Chaplin, Charles Chaplin, Virginia Cherrill,137236,8.500206659207203
35,Once Upon a Time in the West,1968,Sergio Leone, Henry Fonda, Charles Bronson,258302,8.497733098065913
36,Casablanca,1942,Michael Curtiz, Humphrey Bogart, Ingrid Bergman,454595,8.496905702848286
37,Modern Times,1936,Charles Chaplin, Charles Chaplin, Paulette Goddard,178552,8.485345276855417
38,The Intouchables,2011,Olivier Nakache, François Cluzet, Omar Sy,632563,8.482893819685133
39,Avengers: Infinity War,2018,Anthony Russo, Robert Downey Jr., Chris Hemsworth,473584,8.482210006215665
40,The Pianist,2002,Roman Polanski, Adrien Brody, Thomas Kretschmann,603791,8.481358521269444
41,The Departed,2006,Martin Scorsese, Leonardo DiCaprio, Matt Damon,1024819,8.478047928856006
42,Terminator 2: Judgment Day,1991,James Cameron, Arnold Schwarzenegger, Linda Hamilton,864955,8.476305194370443
43,Back to the Future,1985,Robert Zemeckis, Michael J. Fox, Christopher Lloyd,881074,8.475229880106804
44,Rear Window,1954,Alfred Hitchcock, James Stewart, Grace Kelly,378299,8.472442957639268
45,Whiplash,2014,Damien Chazelle, Miles Teller, J.K. Simmons,567377,8.472086275768001
46,Raiders of the Lost Ark,1981,Steven Spielberg, Harrison Ford, Karen Allen,772011,8.471987601862917
47,Gladiator,2000,Ridley Scott, Russell Crowe, Joaquin Phoenix,1151408,8.46350257586437
48,The Lion King,1994,Roger Allers, Matthew Broderick, Jeremy Irons,783608,8.461507159518778
49,The Prestige,2006,Christopher Nolan, Christian Bale, Hugh Jackman,1012524,8.456862367475486
50,Memento,2000,Christopher Nolan, Guy Pearce, Carrie-Anne Moss,988523,8.44532677426755
51,Apocalypse Now,1979,Francis Ford Coppola, Martin Sheen, Marlon Brando,523537,8.444938888676576
52,Alien,1979,Ridley Scott, Sigourney Weaver, Tom Skerritt,680015,8.43723000384349
53,The Great Dictator,1940,Charles Chaplin, Charles Chaplin, Paulette Goddard,170280,8.424726100889501
54,Nuovo Cinema Paradiso,1988,Giuseppe Tornatore, Philippe Noiret, Enzo Cannavale,189204,8.42286896416776
55,Hotaru no haka,1988,Isao Takahata, Tsutomu Tatsumi, Ayano Shiraishi,181849,8.417975230222947
56,Sunset Blvd.,1950,Billy Wilder, William Holden, Gloria Swanson,169896,8.416036450873042
57,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick, Peter Sellers, George C. Scott,398705,8.410625122283767
58,The Lives of Others,2006,Florian Henckel von Donnersmarck, Ulrich Mühe, Martina Gedeck,307555,8.409813635493244
59,Paths of Glory,1957,Stanley Kubrick, Kirk Douglas, Ralph Meeker,147458,8.398904352583022
60,The Shining,1980,Stanley Kubrick, Jack Nicholson, Shelley Duvall,735683,8.391057042022217
61,Django Unchained,2012,Quentin Tarantino, Jamie Foxx, Christoph Waltz,1148925,8.389540857019735
62,WALL·E,2008,Andrew Stanton, Ben Burtt, Elissa Knight,861079,8.37605001649997
63,Mononoke-hime,1997,Hayao Miyazaki, Yôji Matsuda, Yuriko Ishida,277481,8.360160881274014
64,Coco,2017,Lee Unkrich, Anthony Gonzalez, Gael García Bernal,213095,8.358854858156292
65,Witness for the Prosecution,1957,Billy Wilder, Tyrone Power, Marlene Dietrich,85061,8.355498016247125
66,American Beauty,1999,Sam Mendes, Kevin Spacey, Annette Bening,952869,8.354503210919873
67,The Dark Knight Rises,2012,Christopher Nolan, Christian Bale, Tom Hardy,1327658,8.352794876132513
68,Oldeuboi,2003,Chan-wook Park, Min-sik Choi, Ji-tae Yu,434344,8.350586305110467
69,Aliens,1986,James Cameron, Sigourney Weaver, Michael Biehn,575606,8.349493866178928
70,Once Upon a Time in America,1984,Sergio Leone, Robert De Niro, James Woods,263018,8.346775466384651
71,Das Boot,1981,Wolfgang Petersen, Jürgen Prochnow, Herbert Grönemeyer,199098,8.333807592461982
72,Citizen Kane,1941,Orson Welles, Orson Welles, Joseph Cotten,348667,8.328708380965457
73,Braveheart,1995,Mel Gibson, Mel Gibson, Sophie Marceau,857901,8.317605468601313
74,Vertigo,1958,Alfred Hitchcock, James Stewart, Kim Novak,303515,8.317558878147516
75,North by Northwest,1959,Alfred Hitchcock, Cary Grant, Eva Marie Saint,259579,8.317262072158911
76,Reservoir Dogs,1992,Quentin Tarantino, Harvey Keitel, Tim Roth,784930,8.311966257290667
77,Kimi no na wa.,2016,Makoto Shinkai, Ryûnosuke Kamiki, Mone Kamishiraishi,106188,8.311561460410113
78,Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand, Mark Hamill, Harrison Ford,822620,8.310121426159323
79,M - Eine Stadt sucht einen Mörder,1931,Fritz Lang, Peter Lorre, Ellen Widmann,120745,8.3087146295084
80,Dangal,2016,Nitesh Tiwari, Aamir Khan, Sakshi Tanwar,103614,8.29943387260863
81,Requiem for a Dream,2000,Darren Aronofsky, Ellen Burstyn, Jared Leto,671113,8.297850854467567
82,Amadeus,1984,Milos Forman, F. Murray Abraham, Tom Hulce,321398,8.295263662292554
83,Taare Zameen Par,2007,Aamir Khan, Darsheel Safary, Aamir Khan,128773,8.290695913928761
84,Lawrence of Arabia,1962,David Lean, Peter O'Toole, Alec Guinness,230566,8.287747191348052
85,A Clockwork Orange,1971,Stanley Kubrick, Malcolm McDowell, Patrick Magee,657045,8.287221455905389
86,Amélie,2001,Jean-Pierre Jeunet, Audrey Tautou, Mathieu Kassovitz,625513,8.286871509016382
87,Eternal Sunshine of the Spotless Mind,2004,Michel Gondry, Jim Carrey, Kate Winslet,786410,8.286854201452456
88,Double Indemnity,1944,Billy Wilder, Fred MacMurray, Barbara Stanwyck,120404,8.284306744171886
89,2001: A Space Odyssey,1968,Stanley Kubrick, Keir Dullea, Gary Lockwood,513962,8.282114585863114
90,3 Idiots,2009,Rajkumar Hirani, Aamir Khan, Madhavan,280482,8.28123333209303
91,Taxi Driver,1976,Martin Scorsese, Robert De Niro, Jodie Foster,605410,8.280932355396292
92,Toy Story,1995,John Lasseter, Tom Hanks, Tim Allen,749299,8.280117735266684
93,Singin' in the Rain,1952,Stanley Donen, Gene Kelly, Donald O'Connor,185969,8.2785095418258
